Image 1: Predicted 7, Ground Truth 7
Image 2: Predicted 2, Ground Truth 2
Image 3: Predicted 1, Ground Truth 1
Image 4: Predicted 0, Ground Truth 0
Image 5: Predicted 4, Ground Truth 4
Image 6: Predicted 1, Ground Truth 1
Image 7: Predicted 5, Ground Truth 4
Image 8: Predicted 9, Ground Truth 9
Image 9: Predicted 5, Ground Truth 5
Image 10: Predicted 9, Ground Truth 9
Image 11: Predicted 0, Ground Truth 0
Image 12: Predicted 6, Ground Truth 6
Image 13: Predicted 9, Ground Truth 9
Image 14: Predicted 0, Ground Truth 0
Image 15: Predicted 1, Ground Truth 1
Image 16: Predicted 3, Ground Truth 5
Image 17: Predicted 9, Ground Truth 9
Image 18: Predicted 7, Ground Truth 7
Image 19: Predicted 3, Ground Truth 3
Image 20: Predicted 4, Ground Truth 4
Image 21: Predicted 9, Ground Truth 9
Image 22: Predicted 6, Ground Truth 6
Image 23: Predicted 6, Ground Truth 6
Image 24: Predicted 5, Ground Truth 5
Image 25: Predicted 4, Ground Truth 4
Image 26: Predicted 0, Ground Truth 0
Image 27: Predicted 7, Ground Truth 7
Image 28: Predicted 4, Ground Truth 4
Image 29: Predicted 0, Ground Truth 0
Image 30: Predicted 1, Ground Truth 1
Image 31: Predicted 3, Ground Truth 3
Image 32: Predicted 1, Ground Truth 1
Image 33: Predicted 3, Ground Truth 3
Image 34: Predicted 4, Ground Truth 4
Image 35: Predicted 7, Ground Truth 7
Image 36: Predicted 2, Ground Truth 2
Image 37: Predicted 7, Ground Truth 7
Image 38: Predicted 1, Ground Truth 1
Image 39: Predicted 2, Ground Truth 2
Image 40: Predicted 1, Ground Truth 1
Image 41: Predicted 1, Ground Truth 1
Image 42: Predicted 7, Ground Truth 7
Image 43: Predicted 4, Ground Truth 4
Image 44: Predicted 2, Ground Truth 2
Image 45: Predicted 3, Ground Truth 3
Image 46: Predicted 5, Ground Truth 5
Image 47: Predicted 1, Ground Truth 1
Image 48: Predicted 2, Ground Truth 2
Image 49: Predicted 4, Ground Truth 4
Image 50: Predicted 4, Ground Truth 4
Image 51: Predicted 6, Ground Truth 6
Image 52: Predicted 3, Ground Truth 3
Image 53: Predicted 5, Ground Truth 5
Image 54: Predicted 5, Ground Truth 5
Image 55: Predicted 6, Ground Truth 6
Image 56: Predicted 0, Ground Truth 0
Image 57: Predicted 4, Ground Truth 4
Image 58: Predicted 1, Ground Truth 1
Image 59: Predicted 9, Ground Truth 9
Image 60: Predicted 5, Ground Truth 5
Image 61: Predicted 7, Ground Truth 7
Image 62: Predicted 8, Ground Truth 8
Image 63: Predicted 5, Ground Truth 9
Image 64: Predicted 3, Ground Truth 3
Image 65: Predicted 7, Ground Truth 7
Image 66: Predicted 9, Ground Truth 4
Image 67: Predicted 5, Ground Truth 6
Image 68: Predicted 4, Ground Truth 4
Image 69: Predicted 3, Ground Truth 3
Image 70: Predicted 0, Ground Truth 0
Image 71: Predicted 7, Ground Truth 7
Image 72: Predicted 0, Ground Truth 0
Image 73: Predicted 2, Ground Truth 2
Image 74: Predicted 9, Ground Truth 9
Image 75: Predicted 1, Ground Truth 1
Image 76: Predicted 7, Ground Truth 7
Image 77: Predicted 3, Ground Truth 3
Image 78: Predicted 2, Ground Truth 2
Image 79: Predicted 9, Ground Truth 9
Image 80: Predicted 7, Ground Truth 7
Image 81: Predicted 7, Ground Truth 7
Image 82: Predicted 6, Ground Truth 6
Image 83: Predicted 2, Ground Truth 2
Image 84: Predicted 7, Ground Truth 7
Image 85: Predicted 8, Ground Truth 8
Image 86: Predicted 4, Ground Truth 4
Image 87: Predicted 7, Ground Truth 7
Image 88: Predicted 3, Ground Truth 3
Image 89: Predicted 6, Ground Truth 6
Image 90: Predicted 1, Ground Truth 1
Image 91: Predicted 3, Ground Truth 3
Image 92: Predicted 6, Ground Truth 6
Image 93: Predicted 5, Ground Truth 9
Image 94: Predicted 3, Ground Truth 3
Image 95: Predicted 1, Ground Truth 1
Image 96: Predicted 4, Ground Truth 4
Image 97: Predicted 1, Ground Truth 1
Image 98: Predicted 7, Ground Truth 7
Image 99: Predicted 6, Ground Truth 6
Image 100: Predicted 9, Ground Truth 9
