                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3195,                 5.6494,                0.86932,                0.32996,                0.25901,                0.18914,                0.13225,                 1.0156,                 1.9356,                0.82297,             6.7926e-05,             6.7926e-05,             6.7926e-05
                      2,                 1.1166,                  2.186,                0.83531,                0.45507,                0.34312,                0.29445,                0.20203,                0.98566,                 1.6227,                0.82432,             0.00013323,             0.00013323,             0.00013323
                      3,                 1.0798,                  1.749,                0.82971,                0.42264,                0.41729,                0.34309,                0.24304,                0.95611,                 1.4339,                0.82329,             0.00019585,             0.00019585,             0.00019585
                      4,                 1.0803,                 1.6134,                0.82723,                0.45599,                0.46433,                0.39746,                0.27558,                0.95141,                 1.3715,                0.82363,             0.00019188,             0.00019188,             0.00019188
                      5,                 1.0456,                 1.4774,                0.82463,                0.50548,                0.47771,                0.44963,                0.32656,                0.91859,                 1.2738,                0.81682,             0.00018784,             0.00018784,             0.00018784
                      6,                 1.0244,                 1.3683,                 0.8254,                0.59959,                0.47613,                0.46776,                0.34122,                 0.9091,                 1.1965,                0.81597,              0.0001838,              0.0001838,              0.0001838
                      7,                 1.0054,                  1.309,                0.82259,                0.57981,                0.48102,                0.50741,                0.36233,                0.91063,                 1.1776,                0.81819,             0.00017976,             0.00017976,             0.00017976
                      8,                 1.0002,                 1.2522,                0.82329,                0.55009,                0.52298,                0.53126,                0.39022,                0.89495,                 1.0554,                0.81509,             0.00017573,             0.00017573,             0.00017573
                      9,                 0.9773,                 1.1973,                0.81811,                0.57687,                0.54581,                 0.5571,                0.40774,                0.88908,                 1.0325,                0.81401,             0.00017169,             0.00017169,             0.00017169
                     10,                0.97389,                 1.1587,                0.81385,                0.63252,                0.51798,                0.56662,                0.42191,                0.87902,                 1.0094,                0.81279,             0.00016765,             0.00016765,             0.00016765
                     11,                0.94768,                 1.0984,                0.81471,                0.57759,                0.56476,                0.59035,                0.43616,                 0.8832,                0.96744,                0.81342,             0.00016361,             0.00016361,             0.00016361
                     12,                0.96443,                 1.0734,                0.81839,                0.62715,                0.57491,                0.59905,                0.44011,                0.87695,                0.96628,                0.81202,             0.00015957,             0.00015957,             0.00015957
                     13,                0.95258,                 1.0352,                0.81966,                 0.6683,                0.54581,                0.61844,                0.46167,                0.86585,                0.93063,                0.81154,             0.00015553,             0.00015553,             0.00015553
                     14,                0.94075,                 1.0148,                0.81323,                  0.672,                0.57894,                0.64313,                0.47679,                0.85978,                0.87305,                 0.8104,             0.00015149,             0.00015149,             0.00015149
                     15,                0.93698,                0.98308,                0.81454,                0.67945,                0.58035,                0.64406,                0.48319,                0.85289,                0.85788,                0.80964,             0.00014745,             0.00014745,             0.00014745
                     16,                0.92333,                0.95738,                0.81292,                0.62729,                0.59485,                0.63838,                0.47917,                0.85107,                0.86405,                0.80879,             0.00014341,             0.00014341,             0.00014341
                     17,                0.91721,                0.92391,                0.81294,                0.65372,                0.60629,                0.65871,                0.49038,                0.84192,                0.84322,                0.80956,             0.00013937,             0.00013937,             0.00013937
                     18,                0.92463,                0.91053,                0.81174,                0.67128,                0.60519,                0.66673,                0.49812,                0.84003,                0.82678,                0.80965,             0.00013533,             0.00013533,             0.00013533
                     19,                0.92051,                0.89506,                0.80945,                0.69741,                0.60701,                0.67319,                0.50395,                0.83571,                0.80616,                0.80809,             0.00013129,             0.00013129,             0.00013129
                     20,                0.90785,                 0.8773,                0.81179,                0.67551,                 0.6129,                0.67647,                0.50918,                0.83332,                0.80612,                0.80763,             0.00012726,             0.00012726,             0.00012726
                     21,                0.90642,                 0.8561,                0.80954,                0.68948,                0.62765,                0.69149,                0.51718,                0.83755,                0.78117,                0.80765,             0.00012322,             0.00012322,             0.00012322
                     22,                0.89028,                0.83135,                0.81125,                 0.7101,                0.62445,                0.70118,                0.52784,                0.83324,                0.77674,                 0.8081,             0.00011918,             0.00011918,             0.00011918
                     23,                0.88813,                0.82257,                0.81007,                0.73643,                0.64936,                0.71113,                0.53591,                0.82755,                0.74911,                0.80769,             0.00011514,             0.00011514,             0.00011514
                     24,                0.88381,                0.79073,                0.80891,                0.69463,                  0.647,                0.71217,                0.53346,                0.82446,                0.74391,                0.80704,              0.0001111,              0.0001111,              0.0001111
                     25,                0.88327,                0.78077,                0.80911,                0.73657,                0.63558,                0.71333,                0.53712,                 0.8198,                0.73744,                  0.807,             0.00010706,             0.00010706,             0.00010706
                     26,                0.86801,                 0.7705,                0.80967,                0.74583,                0.64581,                0.72638,                 0.5459,                0.82103,                0.72412,                0.80714,             0.00010302,             0.00010302,             0.00010302
                     27,                0.86912,                 0.7489,                0.80771,                0.74697,                0.65188,                0.72886,                0.55059,                0.81586,                0.72142,                0.80597,             9.8981e-05,             9.8981e-05,             9.8981e-05
                     28,                0.86533,                0.74269,                0.80403,                0.80087,                0.60837,                0.73321,                0.55455,                0.81424,                0.72234,                0.80502,             9.4942e-05,             9.4942e-05,             9.4942e-05
                     29,                0.87358,                0.74284,                0.80897,                0.73009,                0.67305,                0.73592,                0.55546,                0.80907,                0.71279,                0.80599,             9.0902e-05,             9.0902e-05,             9.0902e-05
                     30,                0.86468,                0.72328,                0.80424,                0.72551,                 0.6601,                0.73164,                0.55188,                0.80787,                0.70596,                0.80579,             8.6863e-05,             8.6863e-05,             8.6863e-05
                     31,                0.85307,                0.71589,                0.80603,                0.76997,                0.65027,                0.74286,                0.56079,                0.80315,                0.69989,                0.80427,             8.2824e-05,             8.2824e-05,             8.2824e-05
                     32,                0.85409,                 0.6886,                0.80453,                0.75534,                0.66977,                0.74948,                 0.5646,                0.80669,                0.69055,                0.80479,             7.8785e-05,             7.8785e-05,             7.8785e-05
                     33,                0.84764,                0.68284,                0.80543,                0.77431,                0.67708,                 0.7566,                 0.5758,                0.79898,                0.67319,                0.80383,             7.4746e-05,             7.4746e-05,             7.4746e-05
                     34,                0.84841,                 0.6794,                0.80492,                0.78701,                0.66251,                0.75138,                0.56393,                 0.8051,                0.67696,                0.80505,             7.0706e-05,             7.0706e-05,             7.0706e-05
                     35,                0.83677,                0.65455,                0.80555,                0.76338,                0.67188,                 0.7509,                0.56742,                0.79652,                0.68786,                0.80276,             6.6667e-05,             6.6667e-05,             6.6667e-05
                     36,                0.83741,                0.65234,                 0.8072,                0.77102,                 0.6774,                0.75519,                0.57078,                 0.7979,                0.67752,                0.80443,             6.2628e-05,             6.2628e-05,             6.2628e-05
                     37,                0.81862,                0.62483,                0.80501,                0.78333,                0.67989,                0.76369,                0.57694,                0.79681,                0.66666,                0.80507,             5.8589e-05,             5.8589e-05,             5.8589e-05
                     38,                0.82775,                0.62899,                0.80419,                0.77364,                0.68041,                0.76637,                 0.5772,                0.79649,                0.65945,                0.80337,              5.455e-05,              5.455e-05,              5.455e-05
